channel_id,all_comment_count,eng_comment_count
UC-0unh5x9WSd6aj0OGxrgaA,55,3
UC-3sBKh8YYbG2KyVHnSyA1A,33,20
UC-9b7aDP6ZN0coj9-xFnrtw,33,31
UC-AlofdKECUdhXrbJQZ6iEg,92,49
UC-B0ARaD-Y0p95aAqbbawQQ,37,27
UC-CBQChrXvLzYc9oxpMfFPg,29,7
UC-CSyyi47VX1lD9zyeABW3w,30,21
UC-D4LfKD1LYd_GoqwL7dd6Q,27,24
UC-EnprmCZ3OXyAoG7vjVNCA,30,27
UC-FUM0zTj88J7bKIT6PidmA,23,17
UC-KTRBl9_6AX10-Y7IKwKdw,32,22
UC-OkQ5JhnX5wCAgYJRxi6bw,14,11
UC-QTh5HFiw28MwFrmFrRjzA,92,79
UC-SkUab6CMjeSzlO6JN5yng,13,5
UC-UGUUaSrcXxNftujxaErdg,31,25
UC-V0JMkSlpUyQ1DxWn_Pi4g,35,8
UC-VNOmCXKmsss7zpvS3RbOQ,24,16
UC-WMwOzgFdvvGVLB1EZ-n-w,33,27
UC-he8--TRguZ-nNUSiH77Uw,38,23
UC-iEDvQSU9q6G5MR4Prp_Tw,32,16
UC-iLj0O7941O6BXMcaZsA_w,27,25
UC-kIIbllnhNe7rlqNYMtVoA,30,15
UC-nPM1_kSZf91ZGkcgy_95Q,24,20
UC-p_YEaF3-cLUAmYuUOpgqA,2,2
UC-ptWR16ITQyYOglXyQmpzw,3,3
UC-tLyAaPbRZiYrOJxAGB7dQ,31,27
UC-uNVV92llYIMC5-ZUF0Q4w,31,26
UC-z5oN_BPJs4Bi9sCH75rqw,4,2
UC00ifCvU8YOOzbL3RdiSTDw,30,21
UC00v5l55jh7OQqcHXrCHQDw,30,8
UC02rAIf5RYrww6AWhoI5S0w,58,49
UC05DLAXA9jl1bxaoopjs83w,31,23
UC07-dOwgza1IguKA86jqxNA,21,15
UC0A86RKLCqTEUna3hPlEpzg,39,16
UC0BGhWsIbV7Dm-lsvhdlMbA,31,23
UC0BletW9phE4xHFM44q4qKA,41,27
UC0Cyf-sOPE0AGY41I6andkQ,31,26
UC0DsQklZE7kyWTx98QPapwA,40,40
UC0GbKJaeEN9k5CG1NLbN6Ow,29,26
UC0GmLw5MOFYkcyYJlqaH2bg,30,9
UC0MPfq68TQjStJt5-xklLeA,23,18
UC0NM4tKT5s9szqnK3jp6dEw,4,3
UC0NfgQvgO8X7llW1GOhQKWw,95,69
UC0POxtMZgb3VLI4gd03bDYQ,4,2
UC0PRIrhVeQ7MvPn8r_Zr4kQ,85,55
UC0QHWhjbe5fGJEPz3sVb6nw,154,145
UC0Rp4wkphkKwnL2qJB8XnKw,34,23
UC0StMWrlJkpiXE2PrytcoHw,27,24
UC0Um8gFJciY_3gtlVD0-d1w,35,15
UC0VOyT2OCBKdQhF3BAbZ-1g,34,20
UC0WP5P-ufpRfjbNrmOWwLBQ,47,24
UC0YbFiLN8fcvtWC5Jtt1Vzw,41,33
UC0YdQLeS-QMU68nvIIWOFCA,26,17
UC0aSHiQNMy8IMmS7_8WbtdA,23,17
UC0cd_-e49hZpWLH3UIwoWRA,19,17
UC0dx1Fa4nt3FRWWG5IcdOEQ,29,28
UC0iiLOT3Jnefq_5Ohk2fJhg,89,49
UC0k238zFx-Z8xFH0sxCrPJg,28,20
UC0kejkXg2LG-pFqAeWD_zLQ,26,11
UC0n5zrwFJhFmUtjf21k08cg,24,24
UC0p5jTq6Xx_DosDFxVXnWaQ,84,76
UC0xAWNc3HiioXYmbpEx1pIA,59,49
UC10qbUzr5SqQPMKxNxpGv1Q,21,14
UC12zxxedZWx_-E1wrhBHy_A,158,108
UC14PsVSS3tpfEaTa-t9Vsrw,37,23
UC14UlmYlSNiQCBe9Eookf_A,25,10
UC16niRr50-MSBwiO3YDb3RA,748,635
UC176GAQozKKjhz62H8u9vQQ,167,149
UC18fv3yDege-nPN5zO48eHg,39,24
UC1Ax24VdEPbE5p5__EfAX-A,37,33
UC1Bbtdbpfert8leeKx2mssw,25,19
UC1Cp5caGwHvJZxHoevGoDdA,40,22
UC1D26ByrbZVwuMgjVWmsOuw,32,15
UC1D3yD4wlPMico0dss264XA,24,20
UC1IQIspOkCeV3WnYm32SBFQ,36,35
UC1Mh6LN5m80lvSdcXi0OM1Q,35,21
UC1NlvNg7p6m1kFuudR2UZ0w,29,16
UC1PutYRxIS9eHuX9ymNI51A,31,17
UC1RMpjsUQcBuel6-GIeV9Cw,127,45
UC1S3EiYLDrrVc3Ev9rdUE6A,33,25
UC1T-ZwcYVQB6EpqOQD10tmw,31,0
UC1Yf7IBfhSNFTIyb7v83o_g,42,36
UC1_wTS4HNPMqpLe3m7h79ag,28,19
UC1gT25MvrRgUm9jQmVeDp5A,31,5
UC1hvx0aUibwayB4JFE0b05A,28,26
UC1jhV8buk475760JtbyrnCQ,29,15
UC1oPBUWifc0QOOY8DEKhLuQ,57,5
UC1pfMSQ2GwZxl7Xn2PupxyA,31,14
UC1qi29JIh37TEbl5Bn-m_zw,58,47
UC1rcsQHdpWyEsKWMe4l_m6A,26,17
UC1sELGmy5jp5fQUugmuYlXQ,31,13
UC1tk9F5-MGXEq4LWnjmrtpA,1,0
UC1uZYgOfncA-Gnk0GsLVK5A,43,3
UC1xNraQytCPsaoO5N7_YABw,32,29
UC1xvRxqTWRyuZyVO1QZKI2Q,19,11
UC1yNl2E66ZzKApQdRuTQ4tw,378,360
UC2-6nSxJ50MLhWm9QvOohMw,37,26
UC21I6tEyHTeSblJn8WBo0Jw,30,17
UC257b6MFXKs7JrxZGHOPH1w,26,6
UC27Q3ls_w78LPo5Juo8p3Aw,35,15
UC284Za0seKV8WGZJO4gltFg,7,7
UC29ThLVR45Xgio76683lpHg,3,2
UC2BDs0pu-C1A4POY0g9rZxw,57,31
UC2C_jShtL725hvbm1arSV9w,43,31
UC2D2CMWXMOVWx7giW1n3LIg,67,62
UC2H_sYOZkk9vBFPzx1fmWBw,39,10
UC2IzfN6qRP4ld2H6BKB1uKg,30,10
UC2J-0g_nxlwcD9JBK1eTleQ,34,33
UC2KfmYEM4KCuA1ZurravgYw,103,74
UC2MHTOXktfTK26aDKyQs3cQ,34,22
UC2MQQlBUxljQ_j81cx_o1LQ,29,13
UC2OPPQoFSorD_tB_tlCwpEQ,29,26
UC2SqHs9JwrwjuV6HLD3W9sQ,5,1
UC2UXDak6o7rBm23k3Vv5dww,32,27
UC2WuPTt0k8yDJpfenggOAVQ,28,13
UC2Zs9v2hL2qZZ7vsAENsg4w,3,3
UC2a6HBSxlWXKXjPVoKLxc2g,7,5
UC2aG3ddqJs7GU-Fq0ETgSLg,32,1
UC2cL3pI1H3tiozKif6A8fmA,26,25
UC2dxiip2L5FipdwX2i93MKw,32,4
UC2gzGsZhfo_BmCI4fsETH7w,117,37
UC2iUwfYi_1FCGGqhOUNx-iA,38,34
UC2ih0UcIYcDxU1-gB68W1PA,56,40
UC2jOcQnwJDw5D25dMFrIUJQ,31,30
UC2prVaTYvPljklrty7GBZ1g,37,22
UC2qKQjnZI_tnG7XemGBOHxQ,33,23
UC2sLtDxcntvFq2ARAVoprLg,48,22
UC2vhx3TcmtbKhJmgvQNdPHg,22,18
UC2wTnMBvQ_TH0qn5rJl8hWQ,23,18
UC2xBh2nwvOwBqnA1tEbPCZw,61,42
UC2xj044cgBpoXOnfQZhO5Yg,61,16
UC2yq41wib1MOacBef2crlbw,34,31
UC2zuipdDU9Dp5FFPtZ-y3rQ,22,13
UC3-8wdy7KcSa5KloEm0vp9A,30,3
UC305byCobfeNGA4XEZQmnLQ,34,1
UC362wXiUbL4_okVgEPdHqmQ,28,23
UC3DFdy_qc-cqgKCyQTHLGzA,69,52
UC3ITEPB1plAEtHf5Cm8nQLA,32,23
UC3IZKseVpdzPSBaWxBxundA,29,13
UC3K_V0FgEq_6SuA6X54z3GQ,35,28
UC3N5y6UWKJaKqoU2b_0MfTQ,33,24
UC3NJVkGUkPwvWwWpQG-67Ag,24,12
UC3OOIib8F59y4qzSjKiZZ3A,18,4
UC3Rkc5AnVil_2qt6IwEEXaw,34,0
UC3SM8yOKKwU8PYqwsNP5rGA,31,30
UC3VWbWk8qDBiF0741izgpQg,53,49
UC3XTzVzaHQEd30rQbuvCtTQ,22,20
UC3c8H4Tlnm5M6pXsVMGnmNg,33,33
UC3ifTl5zKiCAhHIBQYcaTeg,30,13
UC3iwxKMRg5l2aDG_8XK2nSQ,30,14
UC3plrhJApuJ_uapz_AMf7tw,28,26
UC3qp2FCeaQ5HhA3jHWHbrxg,29,26
UC3rrzHpFzshYjIMk8YFc52w,30,21
UC3xZYc4SZUGfRERIvDRGqDQ,34,26
UC3yrASSnYnr1rPvTUmU-Qzg,47,20
UC415bOPUcGSamy543abLmRA,129,118
UC42pOSNg804f1wCcj7qL0mA,180,162
UC46vj6mN-6kZm5RYWWqebsg,44,37
UC4BzfoDeAwqdNckkp0htOuQ,111,85
UC4C6jpQu4eChkMwaWuaQvSA,9,7
UC4CAxaO75mfkPr3GRiSGE_w,32,17
UC4CepjymvDjsas2g05GxtPw,38,26
UC4DLvb5xZ9OLcVM1KC_R97g,26,3
UC4ELmvRt24gNmbeS3EqDkNg,11,5
UC4JX40jDee_tINbkjycV4Sg,64,56
UC4KyTCx8kpTwoyqbRoOFnVA,42,3
UC4NtCXEWUj3mu-4n7TUxA2w,26,10
UC4QZ_LsYcvcq7qOsOhpAX4A,36,35
UC4SVo0Ue36XCfOyb5Lh1viQ,60,37
UC4UWbQ23IbWwU-XG7XIWxvQ,39,30
UC4XJeGGdXj0vA4CxDDJ8J_A,29,13
UC4XrBtU7fwDmR15GML18KcQ,36,26
UC4a-Gbdw7vOaccHmFo40b9g,25,20
UC4eegkSVzV56kTrSpvL6BKQ,25,16
UC4gD0czpXVv_LpADTSU624g,52,51
UC4hwR9831LIKr9wKQOO_ZYA,30,9
UC4ijq8Cg-8zQKx8OH12dUSw,35,30
UC4kronjAGs7kTc9vH3BWK2Q,62,30
UC4lnpEse_SnqheLmcbbumig,68,63
UC4lp9Emg1ci8eo2eDkB-Tag,127,94
UC4qGmRZ7aLOLfVsSdj5Se2A,51,31
UC4rZpoEdeFLF4x9walsyoSw,31,16
UC4rlAVgAK0SGk-yTfe48Qpw,58,48
UC4sEmXUuWIFlxRIFBRV6VXQ,21,19
UC4uJlNGyJgcuBXeFpo2Wxew,24,11
UC4ukq--KwuB31q3VyNs_BdA,28,25
UC4vT3qTr8fwVS7IsPgqaGCQ,39,22
UC4wOd-OGys-RKbv9FYFGRvA,96,93
UC4xHcg7a7hMoHgXerjRKiyA,38,25
UC4zNtKX3XTplYQWNFPorvXQ,28,17
UC505hkZmukH32DjoqkPA8UQ,55,50
UC515BDgBYXCc22q6lMENU-g,19,13
UC52kszkc08-acFOuogFl5jw,59,54
UC55HiTglyGMk1B33Lx9X7CQ,7,7
UC55hzEBczDivH31zVueh8Gg,24,1
UC56dNUTok1pgvpY75CsJQ4Q,61,7
UC59K-uG2A5ogwIrHw4bmlEg,155,127
UC5CugyvTdOloiuTc9nN09TA,26,25
UC5EcQrgvXsgGLR4ukxBTM8w,36,33
UC5FNGaz7gMK1GaqHeQ_INYQ,5,3
UC5FZ8PMYt4h4MHtDjgiTklA,32,20
UC5H9MzrMkJ5iuN11vV2PLhA,62,16
UC5IuDMmKWSsBFB0iKky6aEQ,26,26
UC5LgwusHqV8Ibl18sRaGTgg,24,19
UC5NsCSD7fuNzczbEliIIa0w,35,7
UC5QciHe35MiA_adJZUI-TCA,230,183
UC5Qj4RxFiIBYSH-1jKVjNqQ,37,33
UC5QvDEFmd-KLWz6p6CSDehA,14,7
UC5Sl4VbJELXi9SCaWbTdXfA,4,2
UC5T7D-Dh1eDGtsAFCuwv_Sw,1,1
UC5WjFrtBdufl6CZojX3D8dQ,65,52
UC5Wz4fFacYuON6IKbhSa7Zw,34,32
UC5Y1pPVNm-odhiubuRO1D6A,31,5
UC5Z010wx1Yy_sQA6wNji93w,32,24
UC5apxzE3aEOpvP0XkeuW8mw,36,5
UC5asLXjw7vevJAKe0f4qtlA,8,3
UC5c7sXwWNvA-KQ_b7OxdsMg,36,22
UC5cs06DgLFeyLIF_II7lWCQ,24,2
UC5f5IV0Bf79YLp_p9nfInRA,22,8
UC5hXaKEUulRpdBoivsmCSTw,34,22
UC5nw8exLddNg1nBm8stemdg,32,17
UC5oMpJJ5poXbBgABWwnuW5w,34,28
UC5p10kZrTNj5kHaRfSCNOQA,26,24
UC5rP-wFWe80lXN0unKDoulg,14,11
UC5zS0_6TYr17qTnvw_9vang,29,8
UC6-EmBtXmXOMPF-vWr9YaJA,30,27
UC61tzH0mtu0nuZIQikxT9FQ,33,7
UC63FOuee249Jpg1O075KFwQ,28,23
UC63mNFJR8EAb8wAIJwoCmTA,71,27
UC64ssaQO8MZiLOYqUHFxIEQ,5,4
UC6A_LC-A5NVJ2vw9A0OjCug,27,22
UC6DlKHO4DAHjB6fBqqI11cA,29,21
UC6Fm1WbZBIp-0OXXHWV_PRQ,26,21
UC6H07z6zAwbHRl4Lbl0GSsw,36,24
UC6JhCqFwuSBJfseypJ2HZMw,33,8
UC6LyRXD915GDOFM_5unRfxg,54,30
UC6Mv5oj8daFztwg3jOkQjMA,27,1
UC6PT7R13JtDjTxZZ_dUafKQ,30,11
UC6QZ_ss3i_8qLV_RczPZBkw,139,40
UC6SrBgEY5mUqiadXsz070GQ,43,31
UC6ZCeXD14B7WAJO5nsjGryw,34,31
UC6_K7-Jthgq6hKUu55xC91Q,33,13
UC6d8KgYWSqVuCG7UXMEZt3Q,38,28
UC6n8I1UDTKP1IWjQMg6_TwA,30,30
UC6p0XC87axfwEtXeZEX3qWw,32,20
UC6rlSDvtzpYWgKrYnpjoH5Q,34,13
UC6rrBCCDvrDFcOJHifruL5A,70,53
UC6yzV_xgKn8r77FkcmZyMSg,4,4
UC74O4b7mg9vC6pbRIxTPibQ,4,2
UC762LVwv3LLuEtAvP_-tpfA,154,68
UC78mJyZPMa_OG08KLHjhODw,38,34
UC7BhHN8NyMMru2RUygnDXSg,94,77
UC7DdEm33SyaTDtWYGO2CwdA,32,30
UC7IcJI8PUf5Z3zKxnZvTBog,94,73
UC7JDBUzkcwRGtQGia3_mMgQ,31,27
UC7NXS92qRh43K0RGUTxRIew,20,1
UC7P2WwdpanJBvQmiYyQ-pRg,29,28
UC7WBxkuclmInB50j62iwegA,1,1
UC7_gcs09iThXybpVgjHZ_7g,29,22
UC7bYyWCCCLHDU0ZuNzGNTtg,34,32
UC7c8wbA9yQjzxkj2uyrHrkg,33,11
UC7ekA5squ12MDEy5upvpo7A,32,32
UC7fWeaHhqgM4Ry-RMpM2YYw,27,22
UC7kpCjVmzNj-UlIqwAQqBsw,20,9
UC7ovu6a8ydIbDy0fAKmoZ9A,62,3
UC7qPz_-prgjFyKGcnqJ9aKA,22,20
UC7qwmMOCk-q0KaROR7s7lGg,30,11
UC7r6YicDjoE_CzEM0h3Trww,33,8
UC7rSK4MI1HhnxrnBEozm53w,31,25
UC7rsYYvQbqQrJDGhqWmtAgQ,91,70
UC7szm7Z-YOF_HiFSY7KtYGw,27,13
UC7tWp_Yl6TwflcppyVDK_NA,27,10
UC7wjh3Dqg7JDy5vS82bR6QQ,37,34
UC80QkOQNihd9A8jjy0h5hhw,26,19
UC80Z-cIOdR6upfnrPJ8Q00A,27,23
UC83ou3zkohKwWEL5RluEy2A,29,2
UC84t1K5ri-7u9bFCaUKTXDA,37,30
UC85VW73bQLEjs_taFKP7TwQ,65,55
UC88KSXMWdkv50V1Wm8CAYWg,27,0
UC8B1sNPsg-VSCq6hkZdt9qw,55,39
UC8EP21iEkGNcKOSpOuJw4Dw,32,25
UC8Ld9PAhpOeBbNtLEoNlbUA,11,1
UC8LeXCWOalN8SxlrPcG-PaQ,7,1
UC8NJYzIiErJvwdN_ZG-JBXA,29,23
UC8R3qX--mc_Let6HZHGpnPQ,33,13
UC8T81Q-rEobLa-YuQKj8L1A,33,14
UC8ThsX-gyKKuuN9qo1PJ0-Q,29,24
UC8VhAX-voAUegprM4SpHQJQ,32,27
UC8X6rEFU-vJ1BE-d3NKJfLQ,20,3
UC8Y-jrV8oR3s2Ix4viDkZtA,1,1
UC8YgWcDKi1rLbQ1OtrOHeDw,27,21
UC8aFYW6sAdJT0sJg0GPhzGg,33,26
UC8bTQzxgvKkXDAaWkeuUlkg,28,23
UC8butISFwT-Wl7EV0hUK0BQ,605,494
UC8dRuwQLtfdfARmg77ZKq7w,30,1
UC8idW5eCOVi6Maau2efdKPQ,17,15
UC8jkbVLPvztz8TuE98OYo8Q,29,29
UC8lKgUHo-2mSR5cRRXO9xow,2,1
UC8lSbddTjlDrF0lHEeGM8rg,29,13
UC8lVvurdhqV2-cTizQjh4wQ,114,22
UC8mWYDxedkJmUReAiA3ze9w,36,25
UC8n-7kb2RGV7TidMWzHl7EQ,23,10
UC8p1vwvWtl6T73JiExfWs1g,12,9
UC8voJ9Sjb9tdf2jVByTKlFQ,62,56
UC8zQiuT0m1TELequJ5sp5zw,26,0
UC95bEkaIgwhxSjSsdMFXYGg,82,48
UC97qxGRmPsyfV0Miz7AxU2A,7,4
UC98tcedR6gULv8_b70WJKyw,35,27
UC99hZHMdxBDcjO-yYT1fDgg,19,15
UC9A9-hJ21nrQXNoCzCH7Gag,27,22
UC9Af1bn_bc6_Lwrr4SM6Qkg,30,21
UC9BAayugOCs1MRYUa5s9nkA,4,0
UC9ET3GTgAhGC0jGf5yTXQTg,96,75
UC9EYldgBLKw3EqnSk95Q37w,9,3
UC9EgazNjxm-_3eydGQR45rQ,29,13
UC9K44RtwiROAwCpALm1wdyQ,30,22
UC9L_ZcFAtqA3o3cwo56ejMA,37,9
UC9MAhLcXqWZo2CKlFjLpDEA,25,16
UC9MAhZQQd9egwWCxrwSIsJQ,25,21
UC9MU35bTvG9t06yf70hcGqQ,64,59
UC9OqJwkkvJTQoHUKi1y8LoQ,25,18
UC9PVYlrwFSlqG7w8TDsqRvQ,27,0
UC9RM-iSvTu1uPJb8X5yp3EQ,31,30
UC9SVhrnsGxWwiBRWT9c7Ozw,33,33
UC9Tib0IsWBst6tlQ-p3L4Pw,17,17
UC9cpGw2hVv-6G-76HO22jQg,68,15
UC9dyrsYEmD4iGJ8Oz1G5dpw,32,11
UC9eaNdd1t64xLogaRVmGrow,3,0
UC9fJ0Ic5ki8XL8p2KUs4hmA,12,4
UC9guUZ_cJNtNTCsReHlIg1A,3,1
UC9hHiwe_gqxdHG3X1UGJEEA,41,16
UC9jbx97WHiM7aPA_A3Sl6hQ,18,18
UC9jqaqnrukj-VlYEHLF_S0w,27,19
UC9pzK5rFu0roGKcLNOBQ2bw,36,24
UC9r9HYFxEQOBXSopFS61ZWg,31,28
UC9rEXaObaNCOYU-bpElHntQ,11,2
UC9x0AN7BWHpCDHSm9NiJFJQ,115,107
UC9xghV-TcBwGvK-aEMhpt5w,29,22
UC9zX2xZIJ4cnwRsgBpHGvMg,34,13
UCA19mAJURyYHbJzhfpqhpCA,27,23
UCA1pil7GfHhJugZAhrDtTVQ,37,21
UCA5Kea1lxIUjcenLBujJt_Q,4,3
UCA5pIrTB-nK98lkFrTdRyfQ,25,15
UCA5scr9hNC7nMmDhdU8hkXA,34,23
UCABeEbafXvyp4Q2N_OOYi6g,38,3
UCACU6FM4RgOgX0IHB7dudFA,104,44
UCAF6O8b0QajgcNfT4kcPyNQ,31,23
UCAI5QLNSOSzOQTYCyNA06EQ,28,10
UCAL3JXZSzSm8AlZyD3nQdBA,35,27
UCAM2fyCjEdROyELretVTiiw,29,18
UCANLZYMidaCbLQFWXBC95Jg,67,51
UCAQOf_uPOJ6rXO_k9RwfK3A,26,22
UCAQg09FkoobmLquNNoO4ulg,23,20
UCASGyre6VNuPsF5f9f9nm8g,29,23
UCASNJRaxmqOljWhyagDdgOA,15,10
UCATNzbTbfeoMhNonZGZmrhA,31,28
UCAWn8LWOOorLB3OOwj6JwmQ,28,21
UCAYo8etw9D_IXLGgnr45Cfw,29,15
UCAZsAvNyldyiJWTuUFQnkfQ,31,27
UCAcgY29Ow-ggJSldNTTBdZA,23,21
UCAidhU356a0ej2MtFEylvBA,27,13
UCAmhbG40GSFEJEa-6Yj8zAQ,8,5
UCAr0yk0um7lwLjmrKfzwyig,44,43
UCAsZ8cqlGMeAig2Oud2ETRw,37,4
UCAuUUnT6oDeKwE6v1NGQxug,154,132
UCAynUBIkB7gX10An54eEt4A,22,15
UCB2qTDjzBSouovVXXwYKLlQ,16,6
UCB85mqzwxW1ochHxPbTEsjw,31,3
UCBC4egaXY3_2I6KuQy4FEnw,32,21
UCBEhL1MZrm56pZuzKb5s13w,35,23
UCBGOUQHNNtNGcGzVq5rIXjw,27,20
UCBGxe5vTiVWv7e2gP6QB1Mw,37,36
UCBGzm7haKhfUdBBREbGMfIA,32,22
UCBINFWq52ShSgUFEoynfSwg,33,9
UCBJycsmduvYEL83R_U4JriQ,197,182
UCBKvC2TWrSedladWZtezK8A,28,1
UCBM6AwaDl8uPVAN_BUIqPUw,29,12
UCBM_JsVb_65EWAc66WRtuFw,24,22
UCBN_7mH7JV66YN22wyNY8RQ,128,98
UCBOIxRfSIXDT03e116VTzCw,46,40
UCBQjTfMEcxMlI49KCQAHwYQ,34,33
UCBR6D7Rtvw98KYI0DUisT1w,27,6
UCBSE0woFBOMgMLLmlsRn9tQ,25,16
UCBSc0W_R6djZQXZhKpcdlaA,23,23
UCBVY4zJr4qTXdPlMus1VxqA,57,39
UCBWrBsr6oA9JtVaG6wT5XJg,27,15
UCB_qr75-ydFVKSF9Dmo6izg,33,25
UCBbpLKJLhIbDd_wX4ubU_Cw,4,2
UCBcVQr-07MH-p9e2kRTdB3A,24,22
UCBi2mrWuNuyYy4gbM6fU18Q,144,109
UCBj244LMgn9I1JfPNeLMyew,25,23
UCBkNerkJ8362Pat0Fw7T-uA,36,32
UCBr2W3nb0jPSnommNbbpMAw,33,31
UCBt6XQJC3G40OUjb316ENLg,34,22
UCBvZ2hEzZZaWAIrUHVN6YUw,63,26
UCBwmMxybNva6P_5VmxjzwqA,101,63
UCBzJB1kZcFcn65HknBCfCcA,39,21
UCC0-MHKPdq09Mtg5bGjFY7A,28,18
UCC184ncihJzZze2CmfAQGOQ,29,7
UCC1Mi4fVXKETdFGDlW7rC3w,32,30
UCC1RVMyl0nwjWFydWUNTsYw,2,2
UCC2nOsHWoccGP7ZzbuMYV0w,31,26
UCC552Sd-3nyi_tk2BudLUzA,36,32
UCC6gbNO098rkQKCU0ZaLITQ,34,4
UCCB1tNcxtHw7kkCzCUqGteg,34,30
UCCB6sAb8YsTr16-bIxFQUhA,36,16
UCCJsQKOKArvDksacfT2ryQw,34,14
UCCK3OZi788Ok44K97WAhLKQ,36,2
UCCLg0FJsmxdyHf9sHJlnsTA,32,23
UCCMAz1jZ4_IyhthHk23EMJQ,120,96
UCCNFCLWh1AA-qbyOyp8jlZg,27,24
UCCNw1OSmIlqIXrzeLE4e7fw,30,21
UCCODtTcd5M1JavPCOr_Uydg,160,137
UCCOi5b2vqQ0hHQRBZ6yoT3w,30,13
UCCOrp7GPgZA8EGrbOcIAsyQ,70,61
UCCQi3X-PJGmd6DrPN9Rb6iw,31,29
UCCRFU6puznGXVKW3Ad_gKXg,31,15
UCCV5kpsPAE2M0KdrSws5R1g,30,19
UCCVclxslsRWT3LHFu8mQhNA,32,24
UCCXoCcu9Rp7NPbTzIvogpZg,24,24
UCCYg74-k06_SmH69neYxfvA,30,22
UCCZGYab5SpD0I7Z5JqJZgww,64,43
UCCbv0qixG-cyokxEY3kELtg,31,24
UCCcl8RCA9wia6TsKUnc-6sQ,11,11
UCCeCpXN7FaJUFBfhLtQYHdw,27,0
